report_name,report_date,report_url,pdf_url,pdf_choice_flag,summary
The District’s FY 2022 Annual Comprehensive Financial Report Mischaracterized the Relationship Between the District and the D.C. Housing Authority,2024-01-04,https://dcauditor.org/report/the-districts-fy-2022-annual-comprehensive-financial-report-mischaracterized-the-relationship-between-the-district-and-the-d-c-housing-authority,https://dcauditor.wpenginepowered.com/wp-content/uploads/2024/01/MAR.OCFO_.ACFR_.DCHA_.1.4.24-2.pdf,matched_title,"The District's FY 2022 Annual Comprehensive Financial Report treated the D.C. Housing Authority (DCHA) as a mere ""related organization"" rather than a ""component unit"" as required under GASB accounting standards, omitting DCHA's financial data from the government-wide statements. The District provided DCHA with over $169 million in operating subsidies and $151.8 million in capital allotments between FY 2021 and FY 2023, establishing a clear financial benefit/burden relationship that — under GASB standards and the agency's own cited examples — requires DCHA to be reported as a component unit, and the mischaracterization exposed the District to potential legal risk under federal securities law because the 2022 ACFR was incorporated by reference into bond offering documents."
A Broken Web: Improved Interagency Collaboration is Needed for D.C.'s Crossover Youth,2024-05-28,https://dcauditor.org/report/a-broken-web-improved-interagency-collaboration-is-needed-for-ds-crossover-youth,https://dcauditor.wpenginepowered.com/wp-content/uploads/2024/05/ODCA_CCE_BrokenWeb_v8.pdf,matched_title,"D.C.'s crossover youth — young people involved in both the child welfare and juvenile justice systems — are significantly undercounted by the two primary agencies responsible for them: CFSA and DYRS reported only 8 dual-jacketed youth in FY 2023, while Superior Court records identified 93 crossover youth with open cases in September 2022 alone. The District lacks a unified definition of crossover youth, has no consistent data-sharing or case coordination protocols between agencies, and only 8% of CFSA and DYRS case management staff reported receiving any training related to crossover youth, leaving a vulnerable population — disproportionately Black youth with histories of neglect — without coordinated or specialized support."
Vision Zero Part II: Improvements Underway on Enforcement and Equity,2024-06-05,https://dcauditor.org/report/vision-zero-part-ii,https://dcauditor.wpenginepowered.com/wp-content/uploads/2024/06/Vision.Zero_.PartII.Enforcement.6.5.24.Final_.pdf,matched_title,"Traffic fatalities in D.C. reached a 16-year high of 52 in 2023, even as the city's Vision Zero initiative expanded its automated traffic enforcement camera network from 170 cameras in 2021 to a planned 342 by 2024; fewer than half of the 25 most hazardous intersections had a camera deployed, and MPD's traffic violations and arrests dropped well below pre-pandemic levels without the data analysis needed to determine whether enforcement was effectively targeted. Racial equity gaps persisted throughout the program, with Black residents comprising 44% of the population but 68–89% of traffic fatality victims between 2016 and 2020, and DDOT, MPD, and DPW had not fully implemented equity-focused procedures or data collection into their enforcement strategies."
DOES Unemployment Compensation Can Improve Overtime Policy Compliance and Work Culture,2024-07-03,https://dcauditor.org/report/20230,https://dcauditor.wpenginepowered.com/wp-content/uploads/2024/07/DOES.Overtime.Report.7.3.24.pdf,matched_title,"During the COVID-19 pandemic, overtime expenditures at the DC Department of Employment Services' Office of Unemployment Compensation surged from $115,991 in FY 2019 to nearly $2 million in FY 2021 as staff processed a 372% increase in unemployment claims. Sixty percent of a random sample of employees were paid for overtime hours that lacked required prior authorization, and the agency could not produce evidence that workers actually performed the hours for which they were compensated."
"MPD Needs Improved Data Analysis, Targeted Deployment, and More Detectives",2024-09-12,https://dcauditor.org/report/mpd-needs-improved-data-analysis-targeted-deployment-and-more-detectives,https://dcauditor.wpenginepowered.com/wp-content/uploads/2024/09/MPD.Staffing.Report.MPD_.9.12.14.pdf,matched_title,"A workload-based staffing study of MPD found that patrol services are adequately staffed at roughly 1,340 officers overall, but that officer assignments by shift and district do not align with actual call volumes and workload patterns — with too few officers in certain districts and on day and evening shifts, and too many on the midnight shift. The department is short approximately 65 investigators, with the District Detectives Unit facing the greatest shortage, and MPD's data systems are insufficiently robust to support sound staffing decisions or track how officers spend their time."
Fiscal Year 2022 Annual Report on the Advisory Neighborhood Commissions,2024-09-30,https://dcauditor.org/report/fiscal-year-2022-annual-report-on-the-advisory-neighborhood-commissions,https://dcauditor.wpenginepowered.com/wp-content/uploads/2024/09/ANC.2022.Annual.Report.9.30.24.pdf,matched_title,"In FY 2022, DC's 40 Advisory Neighborhood Commissions collectively held $2.47 million in funds and spent $635,572, but 27 of the 40 ANCs failed in one or more financial compliance areas, including inadequate grant documentation, spending without required bonding on file, and improper categorization of community sponsorship expenditures. Four ANCs forfeited a combined $37,505 of their annual allotments due to unauthorized or unsupported expenditures, and 20 ANCs spent $123,976 without a current and accurate statement and bond on file with the Auditor as required by law."
Stronger DHCD Oversight Needed for Inclusionary Zoning Program to Reach Housing Goals,2024-11-20,https://dcauditor.org/report/stronger-dhcd-oversight-needed-for-inclusionary-zoning-program-to-reach-housing-goals,https://dcauditor.wpenginepowered.com/wp-content/uploads/2024/11/Inclusionary.Zoning.Audit_.11.20.24-1.pdf,matched_title,"DC's Inclusionary Zoning program, which had produced 1,966 affordable units serving a pool of 18,024 registered households by September 2022, has been hampered by weak DHCD oversight: units sat vacant for an average of more than 13 months after a Notice of Availability was issued, income recertification of existing tenants was not enforced, and only 40% of sampled properties submitted required annual reports. DHCD took no enforcement action against property owners who violated covenant requirements during the audit period, and its practice of allowing properties to run their own waitlists and lotteries created risk that units were leased to ineligible households."
DOH Office of Health Equity Initiated Programs to Reduce Health Disparities,2024-11-27,https://dcauditor.org/report/doh-office-of-health-equity-initiated-programs-to-reduce-health-disparities,https://dcauditor.wpenginepowered.com/wp-content/uploads/2024/11/Health.Equity.Report.11.27.24.pdf,matched_title,"The DC Department of Health's Office of Health Equity successfully achieved its program goals through three initiatives — the Calling All Sectors Initiative, the Health Literacy Learning Collaborative, and the Health Equity Impact Review — while also providing equity-informed guidance during the COVID-19 pandemic. However, the Commission on Health Equity, a statutory body designed to advise on health inequities across the District, was effectively inactive throughout the review period because six of its nine voting member seats were left vacant by the Mayor and Council."
MPD Policies Curb Influence from Hate Groups,2025-03-18,https://dcauditor.org/report/mpd-policies-curb-influence-from-hate-groups,https://dcauditor.wpenginepowered.com/wp-content/uploads/2025/03/MPD.Policies.Practices.Hate_.Groups.3.18.25.pdf,matched_title,"No significant hate group ties or affiliations were found among MPD officers, with the exception of two individuals already publicly known to have associated with the Proud Boys. Over a five-year period, MPD identified a relatively small number of sustained bias or discrimination incidents — mostly involving racially charged language — and disciplined those officers or provided valid reasons for not doing so, though several gaps in screening, training, and ongoing vetting practices were identified."
District Should Consider Requiring Review and Approval of All District Employees’ Outside Employment,2025-04-11,https://dcauditor.org/report/district-should-consider-requiring-review-and-approval-of-all-district-employees-outside-employment,https://dcauditor.wpenginepowered.com/wp-content/uploads/2025/04/Management.Alert_.Outside.Employment.4.11.25.pdf,matched_title,"D.C. government has no District-wide requirement that employees report or seek approval for outside employment, leaving a significant gap that contributed to several high-profile cases of improper second jobs in 2024. Only about 25% of the workforce is covered by financial disclosure requirements, and there is no meaningful coordination between DCHR and BEGA on enforcement — a stark contrast to all four neighboring jurisdictions surveyed, which require prior approval for any outside work."
Study of D.C. Public Schools Staffing and Resource Allocation,2025-04-15,https://dcauditor.org/report/20566,https://dcauditor.wpenginepowered.com/wp-content/uploads/2025/04/DCPS.Staffing.Allocation.4.15.25.Final_.pdf,matched_title,"Between FY2020 and FY2025, DCPS's locally funded workforce grew by nearly 1,600 positions — a rate seven times faster than its 2.6% enrollment growth — while per-pupil spending rose 43% to $25,213. The majority of new positions (81%) were school-based, including teachers and social-emotional support staff, and student outcomes improved, though serious data quality and position management weaknesses make it difficult to fully account for how resources are being allocated."
ANC 8E 2021-2022 Commission Failed to Meet Fiduciary Duties,2025-04-24,https://dcauditor.org/report/anc-8e-2021-2022-commission-failed-to-meet-fiduciary-duties,https://dcauditor.wpenginepowered.com/wp-content/uploads/2025/04/ANC8E.Report.4.25.25.Web2_.pdf,matched_title,"The ANC 8E 2021–2022 Commission approved $22,453 in Commissioner reimbursements during the final month of its term, 96% of which did not comply with District laws and guidelines, with most lacking required receipts or proper dual signatures. It also awarded $17,500 in grants that failed to meet legal requirements, and the Commission never developed an annual budget for FY2022 or FY2023 as required."
Urgent Need for New D.C. Jail,2025-05-28,https://dcauditor.org/report/dc-jail-report-update-report-5-28-25,https://dcauditor.wpenginepowered.com/wp-content/uploads/2025/05/JailUpdate_Print3.pdf,matched_title,"The D.C. Central Detention Facility and Correctional Treatment Facility are in severely deteriorated condition, with a death-in-custody rate more than 3.5 times the national average and an overdose death rate 10 times the national average, alongside rampant maintenance failures, chronic staff vacancies, pervasive violence, and inadequate healthcare. Conditions have worsened significantly since a 2019 review that first called for replacement of the jail, with 39 findings across areas including staffing, food, restrictive housing, and legal access."
MPD and the Use of Deadly Force: The Karon Hylton-Brown Case,2025-07-23,https://dcauditor.org/report/mpd-and-the-use-of-deadly-force-the-karon-hylton-brown-case,https://dcauditor.wpenginepowered.com/wp-content/uploads/2025/07/MPD.Karon_.Hylton.Brown_.Case_.Study_.7.23.25.Web3_.pdf,matched_title,"On October 23, 2020, Karon Hylton-Brown, a 20-year-old Black man, died after being struck by a car while riding a moped during a three-minute pursuit by MPD officers in the Brightwood neighborhood. Officer Terence Sutton was convicted of second-degree murder and Lieutenant Andrew Zabavsky of obstruction of justice, but both received presidential pardons from Donald Trump two days after his inauguration; MPD's internal investigation found the officers violated department policy and recommended termination, but Police Chief Pamela Smith rejected those findings without public explanation."
Lottery Made Summer Camp More Equitable,2025-08-15,https://dcauditor.org/report/lottery-made-summer-camp-more-equitable,https://dcauditor.wpenginepowered.com/wp-content/uploads/2025/07/DC.Summer.Camp_.Lottery.Report.8.15.25.pdf,matched_title,"DC's Department of Parks and Recreation replaced its high-stress, first-come-first-served summer camp registration with a lottery system in 2023, and enrollment increased 15% and reduced-rate households grew 15% by 2024, suggesting meaningful progress toward equitable access. However, the lottery's fairness was undermined by DPR allowing staff to register their children outside the lottery process, failing to detect duplicate entries for the same child, and not consistently verifying residency or income eligibility as required by law."
DC Health Did Not Adequately Monitor Animal Shelter Contract,2025-08-20,https://dcauditor.org/report/dc-health-did-not-adequately-monitor-animal-shelter-contract,https://dcauditor.wpenginepowered.com/wp-content/uploads/2025/08/HRA.Animal.Shelter.Contract.8.20.25-1.pdf,matched_title,"For over a decade, the Humane Rescue Alliance held DC's animal care and control contract, but DC Health failed to enforce basic contract terms — reimbursing $53,084 in impermissible expenses, never collecting animal control fines, allowing incomplete and missing required reports, and failing to ensure animals had clean cages or access to exercise. Onsite visits during the review documented dog kennels with feces on all four visits, and the city's dangerous dog investigation process took an average of 266 days to reach a determination."
Rapid Rehousing for Individuals,2025-09-03,https://dcauditor.org/report/rapid-rehousing-for-individuals-management-alert-report,https://dcauditor.wpenginepowered.com/wp-content/uploads/2025/09/MAR.Rapid_.Rehousing.Individuals.9.3.25-1.pdf,matched_title,"DC's Rapid Rehousing for Individuals program, which aims to transition homeless adults into stable housing, was missing income data for 1,519 of 1,791 program participants who exited between 2021 and 2024 — making it impossible to verify eligibility or assess whether participants were likely to remain housed once subsidies ended. The data gaps stem from a combination of an inadequate database prior to 2023, difficulty engaging clients, and a program culture that deprioritized income tracking in favor of quickly placing individuals in housing."
D.C.'s New Rent Registry: A Decade of Delay,2025-09-19,https://dcauditor.org/report/d-c-s-new-rent-registry-a-decade-of-delay,https://dcauditor.wpenginepowered.com/wp-content/uploads/2025/09/Rent.Control.Registry.Report.9.19.25.pdf,matched_title,"A rent control database mandated by the DC Council in 2015 — intended to give tenants searchable access to rent history and landlord information — took a full decade to launch, finally going live on June 2, 2025, after involving five District agencies, multiple failed contracting attempts, and over $2 million in public funds. The prolonged delay stemmed from DHCD's initial inaction, high turnover among contracting officers, a procurement officer selecting a vendor over the technical evaluation panel's recommendation, and persistent failures in interagency data sharing."
